issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
C,Officer (Chief Human Resources Officer),2025-02-13,"Grant, Award, or Other Acquisition",0.0,29478.65,0.0,124905.36
C,Officer (Chief Human Resources Officer),2025-02-13,Sale,81.01,14313.0,1159496.13,110592.36
C,Officer (Chief Human Resources Officer),2025-02-13,Sale,81.02,812.0,65788.24,109780.36
C,Officer (Chief Human Resources Officer),2025-02-13,Gift,0.0,1250.0,0.0,108530.36
C,Officer (Chief Human Resources Officer),2025-02-13,Gift,0.0,625.0,0.0,107905.36
C,Officer (Chief Human Resources Officer),2025-01-20,Tax Withholding (RSU Vesting),79.99,13463.51,1076946.16,95426.71
C,Officer (Chief Human Resources Officer),2024-02-15,"Grant, Award, or Other Acquisition",0.0,36114.0,0.0,108890.22
C,Officer (Chief Human Resources Officer),2024-01-20,Tax Withholding (RSU Vesting),51.52,10003.11,515360.23,72776.22
C,,2023-02-16,"Grant, Award, or Other Acquisition",0.0,36126.83,0.0,85729.33
C,,2023-02-21,Sale,50.77,2950.0,149771.5,82779.33
C,,2023-01-20,Tax Withholding (RSU Vesting),49.37,6693.65,330465.5,49602.5
C,,2022-02-10,"Grant, Award, or Other Acquisition",0.0,24863.22,0.0,71843.15
C,,2022-02-11,Sale,68.555,14800.0,1014614.0,57043.15
C,,2022-02-11,Gift,0.0,747.0,0.0,56296.15
